gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgChargePerMonth,TenureBucket,MonthlyChargesBucket,churn_probability,risk_bucket,risk_decile,recommended_action
Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),90.15,6716.45,0,93.28402777777778,61+,76-100,0.04405063007484284,Low,2,No action
Male,1,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.1,7839.85,0,117.01268656716418,61+,100+,0.16547071629813542,Low,4,No action
Female,0,No,No,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,6236.75,0,103.94583333333334,49-60,100+,0.3997616591370005,Low,6,No action
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.05,45.05,1,45.05,0-6,26-50,0.6721819230811191,Medium,8,Watchlist / proactive support
Female,1,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.0,71.0,1,71.0,0-6,51-75,0.8475014194936528,High,10,Target retention offer
Male,0,Yes,Yes,58,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,50.0,2919.85,0,50.342241379310344,49-60,26-50,0.07601812207091299,Low,2,No action
Female,1,Yes,Yes,47,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.55,3309.25,1,70.40957446808511,37-48,51-75,0.3892725821656887,Low,5,No action
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.7,79.7,1,79.7,0-6,76-100,0.8877250815204868,High,10,Target retention offer
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,20.45,0,20.45,0-6,0-25,0.38856713079231875,Low,5,No action
Male,0,No,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,59.0,1254.7,1,57.03181818181818,13-24,51-75,0.42006282941327133,Medium,6,Watchlist / proactive support
Female,0,No,No,48,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),60.35,2896.4,1,60.34166666666667,37-48,51-75,0.07443628304411294,Low,2,No action
Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,717.5,0,19.39189189189189,37-48,0-25,0.08147237911751523,Low,3,No action
Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.95,253.8,0,19.523076923076925,13-24,0-25,0.26971728433530545,Low,4,No action
Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.45,1110.05,0,25.815116279069766,37-48,26-50,0.03051276102121292,Low,1,No action
Female,0,No,No,6,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,63.4,348.8,0,58.13333333333333,0-6,51-75,0.2887954033708907,Low,5,No action
Male,0,No,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),53.95,3888.65,0,54.76971830985916,61+,51-75,0.02212800723205413,Low,1,No action
Female,1,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.25,69.25,1,69.25,0-6,51-75,0.8547844008155374,High,10,Target retention offer
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,95.1,6843.15,0,95.04374999999999,61+,76-100,0.1339490548118937,Low,3,No action
Female,1,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.1,450.9,0,75.14999999999999,0-6,51-75,0.803666985422829,High,9,Target retention offer
Male,0,Yes,Yes,12,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,35.5,432.25,0,36.020833333333336,7-12,26-50,0.43445317882107143,Medium,6,Watchlist / proactive support
Male,0,No,No,25,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.95,1767.35,1,70.694,25-36,51-75,0.5945206133071088,Medium,7,Watchlist / proactive support
Female,0,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,79.2,1742.45,0,82.97380952380952,13-24,76-100,0.45041918492227045,Medium,6,Watchlist / proactive support
Female,0,Yes,Yes,6,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,48.8,297.35,0,49.55833333333334,0-6,26-50,0.49180723348797395,Medium,6,Watchlist / proactive support
Male,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,89.0,1820.45,1,91.02250000000001,13-24,76-100,0.8152191983157816,High,9,Target retention offer
Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.4,1742.95,1,96.83055555555556,13-24,76-100,0.8467252156502638,High,10,Target retention offer
Female,0,No,No,43,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,55.45,2444.25,0,56.843023255813954,37-48,51-75,0.11826024068182131,Low,3,No action
Female,0,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.4,949.8,0,27.137142857142855,25-36,26-50,0.04709569446724134,Low,2,No action
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),73.5,73.5,1,73.5,0-6,51-75,0.74364937791588,High,8,Target retention offer
Male,1,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.5,2970.8,0,92.8375,25-36,76-100,0.8151101914485237,High,9,Target retention offer
Male,0,No,No,52,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),63.9,3334.95,0,64.13365384615385,49-60,51-75,0.05839312130537903,Low,2,No action
Male,0,No,No,32,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),64.85,2010.95,0,62.8421875,25-36,51-75,0.34826850513571694,Low,5,No action
Female,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.8,4684.3,0,65.05972222222222,61+,51-75,0.0345480792912029,Low,2,No action
Male,0,No,No,51,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),44.45,2181.55,0,42.77549019607844,49-60,26-50,0.23022941249252354,Low,4,No action
Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.95,1303.25,0,19.165441176470587,61+,0-25,0.009447137967831703,Low,1,No action
Male,1,Yes,No,8,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,43.35,371.4,0,46.425,7-12,26-50,0.7732354390327739,High,9,Target retention offer
Male,0,Yes,No,49,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),49.65,2409.9,0,49.18163265306123,49-60,26-50,0.11908353906367752,Low,3,No action
Female,0,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,85.1,6155.4,0,85.49166666666666,61+,76-100,0.02574515788650149,Low,1,No action
Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.5,829.1,1,92.12222222222222,7-12,76-100,0.9104109332844739,High,10,Target retention offer
Female,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,92.35,2602.9,1,92.96071428571429,25-36,76-100,0.7017251380616016,High,8,Target retention offer
Male,0,No,No,54,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,89.8,4667.0,0,86.42592592592592,49-60,76-100,0.3566429942260541,Low,5,No action
Male,0,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.55,824.75,1,74.97727272727273,7-12,51-75,0.800020738274252,High,9,Target retention offer
Female,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,103.05,5153.5,0,103.07,49-60,100+,0.2615635115036717,Low,4,No action
Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0,8182.85,0,118.59202898550726,61+,100+,0.19762174782445163,Low,4,No action
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,0,69.9,0-6,51-75,0.8640518652169942,High,10,Target retention offer
Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),95.1,6683.4,0,98.28529411764706,61+,76-100,0.04822967753628086,Low,2,No action
Male,0,No,Yes,40,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,40.25,1564.05,0,39.10125,37-48,26-50,0.07624638573335664,Low,2,No action
Male,0,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.75,755.6,0,24.374193548387098,25-36,26-50,0.04228472455197264,Low,2,No action
Female,1,No,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,3465.05,0,105.00151515151515,25-36,100+,0.7378147617702017,High,8,Target retention offer
Male,1,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,113.6,6292.7,0,114.41272727272727,49-60,100+,0.3558406758601183,Low,5,No action
Male,0,Yes,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.0,1664.3,0,24.474999999999998,61+,0-25,0.013104309445387367,Low,1,No action
Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.4,198.1,0,16.508333333333333,7-12,0-25,0.2319084000140186,Low,4,No action
Male,0,Yes,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.1,6045.9,0,85.15352112676055,61+,76-100,0.035011867544301925,Low,2,No action
Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,102.65,4108.15,0,102.70374999999999,37-48,100+,0.7438883124037651,High,8,Target retention offer
Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,92.85,5980.75,0,93.44921875,61+,76-100,0.37657445722320737,Low,5,No action
Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),97.75,5043.2,0,95.15471698113207,49-60,76-100,0.25331166066131616,Low,4,No action
Male,1,No,No,12,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,83.8,1029.75,1,85.8125,7-12,76-100,0.689683810173883,Medium,8,Watchlist / proactive support
Male,1,No,No,53,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,54.45,2854.55,1,53.859433962264156,49-60,51-75,0.5449054351108356,Medium,7,Watchlist / proactive support
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),97.95,7114.25,0,98.80902777777777,61+,76-100,0.12450086361324386,Low,3,No action
Male,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.95,907.05,0,19.718478260869563,37-48,0-25,0.031053665028963152,Low,1,No action
Male,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.6,973.95,0,24.348750000000003,37-48,0-25,0.051238540319752716,Low,2,No action
Male,0,No,No,12,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),50.95,605.75,0,50.479166666666664,7-12,51-75,0.5121755847414633,Medium,6,Watchlist / proactive support
Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,75.6,661.55,0,73.50555555555555,7-12,76-100,0.6952189801962164,Medium,8,Watchlist / proactive support
Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.75,4116.9,0,80.7235294117647,49-60,76-100,0.49735322993427833,Medium,6,Watchlist / proactive support
Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.4,4494.65,0,91.72755102040816,49-60,76-100,0.4810640924288828,Medium,6,Watchlist / proactive support
Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,4259.3,1,103.88536585365854,37-48,76-100,0.8437256314178603,High,10,Target retention offer
Female,0,No,No,56,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),60.25,3282.75,0,58.620535714285715,49-60,51-75,0.05686730466363615,Low,2,No action
Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.2,55.7,0,13.925,0-6,0-25,0.5261187928920801,Medium,7,Watchlist / proactive support
Male,0,Yes,No,20,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,64.15,1274.45,0,63.722500000000004,13-24,51-75,0.24295832838267437,Low,4,No action
Female,0,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.25,493.95,0,18.998076923076923,25-36,0-25,0.18701563465289586,Low,4,No action
Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.85,2239.65,1,111.9825,13-24,100+,0.7751346215445947,High,9,Target retention offer
Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.45,480.75,1,68.67857142857143,7-12,76-100,0.7619007570728914,High,9,Target retention offer
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,635.6,1,90.8,7-12,76-100,0.9174518822469825,High,10,Target retention offer
Male,0,No,No,51,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.0,5038.15,0,98.78725490196078,49-60,76-100,0.6969666755482378,Medium,8,Watchlist / proactive support
Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.3,324.2,0,81.05,0-6,76-100,0.8091249199481363,High,9,Target retention offer
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.55,19.55,0,19.55,0-6,0-25,0.3730442306012877,Low,5,No action
Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,100.75,2793.55,0,103.46481481481482,25-36,100+,0.5373730773133133,Medium,7,Watchlist / proactive support
Male,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.75,2095.0,1,95.22727272727273,13-24,100+,0.8246357710819014,High,9,Target retention offer
Male,0,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,53.75,648.65,0,54.05416666666667,7-12,51-75,0.4607027318766164,Medium,6,Watchlist / proactive support
Female,0,Yes,Yes,3,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,31.0,95.05,1,31.683333333333334,0-6,26-50,0.6317540159582915,Medium,7,Watchlist / proactive support
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.6,917.15,0,26.974999999999998,25-36,26-50,0.09483847284825005,Low,3,No action
Male,0,Yes,No,24,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,58.35,1346.9,0,56.12083333333334,13-24,51-75,0.2789260940400517,Low,5,No action
Male,0,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),80.0,4242.35,1,83.18333333333334,49-60,76-100,0.46153784297374645,Medium,6,Watchlist / proactive support
Female,1,No,No,14,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,46.35,672.7,0,48.050000000000004,13-24,26-50,0.8417623911885102,High,10,Target retention offer
Male,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,113.75,6561.25,0,111.20762711864407,49-60,100+,0.1783627250071784,Low,4,No action
Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.4,268.45,0,89.48333333333333,0-6,76-100,0.8148785581281247,High,9,Target retention offer
Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,109.3,7337.55,0,112.88538461538462,61+,100+,0.14750628296053497,Low,3,No action
Male,1,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.25,331.9,1,66.38,0-6,51-75,0.8197557338539538,High,9,Target retention offer
Female,0,Yes,Yes,59,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.3,5194.05,0,88.03474576271186,49-60,76-100,0.036117015644487424,Low,2,No action
Male,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),65.25,4478.85,0,62.206250000000004,61+,51-75,0.033083976160973,Low,1,No action
Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.15,6283.3,1,101.34354838709677,61+,100+,0.5774990869989292,Medium,7,Watchlist / proactive support
Male,0,No,No,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.5,2659.4,1,94.97857142857143,25-36,76-100,0.652963762352913,Medium,8,Watchlist / proactive support
Male,0,No,No,3,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,60.65,196.9,0,65.63333333333334,0-6,51-75,0.548683760787378,Medium,7,Watchlist / proactive support
Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,0,23.11578947368421,13-24,0-25,0.2926336355055925,Low,5,No action
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,19.5,0,19.5,0-6,0-25,0.47590392426166744,Medium,6,Watchlist / proactive support
Male,0,No,No,24,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.95,2107.15,0,87.79791666666667,13-24,76-100,0.6488669481307191,Medium,8,Watchlist / proactive support
Male,1,No,No,57,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,53.5,3035.8,0,53.25964912280702,49-60,51-75,0.1353025330086241,Low,3,No action
Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.45,1866.45,0,25.922916666666666,61+,26-50,0.009416576307990058,Low,1,No action
Male,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.5,1430.95,0,21.357462686567164,61+,0-25,0.008866366951634603,Low,1,No action
Male,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.85,1071.6,0,20.607692307692307,49-60,0-25,0.03677495681909879,Low,2,No action
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.9,6457.15,0,90.94577464788732,61+,76-100,0.028283392566342498,Low,1,No action
Female,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26.0,684.05,0,26.309615384615384,25-36,26-50,0.1197241742970321,Low,3,No action
Female,0,No,No,35,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,113.2,3914.05,0,111.83,25-36,100+,0.26583122046908414,Low,4,No action
Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),69.05,3842.6,0,69.86545454545454,49-60,51-75,0.12545844664964972,Low,3,No action
Female,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,670.35,0,20.313636363636363,25-36,0-25,0.029810211220611456,Low,1,No action
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,109.65,7880.25,0,109.44791666666667,61+,100+,0.23432717087827304,Low,4,No action
Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.2,19.2,0,19.2,0-6,0-25,0.42077434679553766,Medium,6,Watchlist / proactive support
Male,0,No,No,10,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,33.9,298.45,1,29.845,7-12,26-50,0.7592816542295151,High,9,Target retention offer
Female,1,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,90.0,3371.75,0,91.12837837837837,37-48,76-100,0.6177528617499478,Medium,7,Watchlist / proactive support
Male,0,No,No,12,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,34.0,442.45,0,36.87083333333333,7-12,26-50,0.4958509231679811,Medium,6,Watchlist / proactive support
Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.4,20.4,0,20.4,0-6,0-25,0.19874424326434176,Low,4,No action
Male,0,Yes,No,62,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),38.6,2345.55,0,37.83145161290323,61+,26-50,0.029314068819204512,Low,1,No action
Female,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),25.25,25.25,0,25.25,0-6,26-50,0.6930984330005545,Medium,8,Watchlist / proactive support
Female,0,No,No,18,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,60.6,1156.35,0,64.24166666666666,13-24,51-75,0.4694257714695487,Medium,6,Watchlist / proactive support
Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.95,6143.15,1,89.03115942028985,61+,76-100,0.6028551527824649,Medium,7,Watchlist / proactive support
Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.75,144.8,0,72.4,0-6,51-75,0.8399200751988637,High,10,Target retention offer
Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.6,414.95,0,21.839473684210525,13-24,0-25,0.19473353747365416,Low,4,No action
Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.45,1059.55,1,88.29583333333333,7-12,76-100,0.8815500812335965,High,10,Target retention offer
Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.4,181.8,0,20.200000000000003,7-12,0-25,0.3123545270531468,Low,5,No action
Male,0,No,No,27,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,81.7,2212.55,0,81.9462962962963,25-36,76-100,0.23848162854506363,Low,4,No action
Male,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.5,2180.55,1,80.76111111111112,25-36,76-100,0.6771663275815192,Medium,8,Watchlist / proactive support
Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,89.15,89.15,1,89.15,0-6,76-100,0.8078468984332782,High,9,Target retention offer
Female,1,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.3,459.95,0,19.164583333333333,13-24,0-25,0.2753089786458716,Low,5,No action
Male,1,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1036.75,1,74.05357142857143,13-24,51-75,0.862209861606742,High,10,Target retention offer
Female,1,No,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,2276.95,1,71.1546875,25-36,51-75,0.6981951557635828,Medium,8,Watchlist / proactive support
Female,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.0,211.95,0,19.268181818181816,7-12,0-25,0.16393124857689234,Low,4,No action
Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.0,25.0,0,25.0,0-6,0-25,0.5320001900998022,Medium,7,Watchlist / proactive support
Male,1,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,80.45,3162.65,0,83.22763157894737,37-48,76-100,0.5370902878359752,Medium,7,Watchlist / proactive support
Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,210.65,0,23.405555555555555,7-12,0-25,0.07878500060424404,Low,2,No action
Male,0,Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),65.65,3566.7,0,66.05,49-60,51-75,0.030991098064229772,Low,1,No action
